vOTU_header,header_notes,includedinPEONY,num_vOTUs_original,num_vOTUs_PEONY,num_vOTUsPIGEON3,habitat,habitat_sub1,habitat_notes,EmersonLab_data,addedinPIGEONversion,published,title,authors,year_pub,DOI,notes_origins,facility_location,city_county_location,state,country,latitude,longitude
citrus_rhizo_USCA_rhizo,na,no,44,na,44,Soil,Rhizosphere,na,no,2,yes,﻿The structure and function of the global citrus rhizosphere microbiome,"Xu, J., Zhang, Y., Zhang, P. et al. ",2018,https://doi.org/10.1038/s41467-018-07343-2,"AM ter Horst mined this dataset for vOTUs for PIGEON2.0, Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography",USA,na,CA,USA,33.86935644,-117.4689511
citrus_rhizo_USCA_bulk,na,no,37,na,37,Soil,Agricultural,na,no,2,yes,﻿The structure and function of the global citrus rhizosphere microbiome,"Xu, J., Zhang, Y., Zhang, P. et al. ",2018,https://doi.org/10.1038/s41467-018-07343-2,"AM ter Horst mined this dataset for vOTUs for PIGEON2.0, Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography",USA,na,CA,USA,33.86935644,-117.4689511
citrus_rhizo_CN_rhizo,na,no,316,na,316,Soil,Rhizosphere,na,no,2,yes,﻿The structure and function of the global citrus rhizosphere microbiome,"Xu, J., Zhang, Y., Zhang, P. et al. ",2018,https://doi.org/10.1038/s41467-018-07343-2,"AM ter Horst mined this dataset for vOTUs for PIGEON2.0, Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography",Guangxi ,na,na,China,23.99693627,109.4373614
citrus_rhizo_CN_bulk,na,no,107,na,107,Soil,Agricultural,na,no,2,yes,﻿The structure and function of the global citrus rhizosphere microbiome,"Xu, J., Zhang, Y., Zhang, P. et al. ",2018,https://doi.org/10.1038/s41467-018-07343-2,"AM ter Horst mined this dataset for vOTUs for PIGEON2.0, Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography",Guangxi ,na,na,China,23.99693627,109.4373614
li_2021_1,_1  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,HM, see publication for description,,Int.Wat.,72.004,14.73
li_2021_2,_2  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,ENP, see publication for description,,Int.Wat.,44.586,-125.12
li_2021_3,_3  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,MS, see publication for description,,Int.Wat.,31.71,32.37
li_2021_4,_4  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,SMM, see publication for description,,Int.Wat.,33.79,-118.67
li_2021_5,_5  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,EGM, see publication for description,,Int.Wat.,26.59,-87.51
li_2021_6,_6  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,SB, see publication for description,,Int.Wat.,43.01,-60.21
li_2021_7,_7  artificial add to differentiate site,no,373,na,315.8571429,Aquatic,Marine,na,no,2,yes,Deep sea sediments associated with cold seeps are a subsurface reservoir of viral diversity,"Li, Z., Pan, D., Wei, G. et al. ",2021,https://doi.org/10.1038/s41396-021-00932-y,na,WGM, see publication for description,,Int.Wat.,22.9,-93.44
